c6d8b32,Anthony Anonde,11 hours ago,Merge pull request #80 from fosajeff/feat/about-page-view
4a2c4c2,Jeffrey,12 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into feat/about-page-view
cb4c590,Jeffrey,12 hours ago,add page responsiveneess for mobile
4c8f094,Eleam Emmanuel,12 hours ago,Merge pull request #79 from Hybee22/test-signup
e156044,Ibrahim Adekunle,12 hours ago,test: merged test script
bf1288e,Eleam Emmanuel,12 hours ago,Merge pull request #78 from Xemicolon/develop
96e5fc3,Ibrahim Adekunle,12 hours ago,Merge pull request #4 from hngi/develop
f51d387,tonymj76,12 hours ago,hotfix
ea10de5,Xemicolon,13 hours ago,Fixed all the issues on sign up page
b7bb6a8,Xemicolon,13 hours ago,Fixed the sign up page
270bcd7,Eleam Emmanuel,13 hours ago,Merge pull request #77 from Xemicolon/develop
fb4ebe7,Xemicolon,13 hours ago,I saw terrible things
038630c,Jeffrey,13 hours ago,fix merge conflict
9e4cc37,Efosa Jeffrey,13 hours ago,Merge pull request #9 from dreysongz/feat/about-page-view
dc61da7,Timothy Mayor,14 hours ago,Merge pull request #74 from Olanetsoft/develop
62513f2,Eleam Emmanuel,14 hours ago,Merge pull request #73 from Frost199/sign-up
d92acf5,olanetsoft,14 hours ago,INCLUDED POST ABILITY TO LOGIN PAGE
51cdd04,Frost199,14 hours ago,fix: minimal changes to signup
573b493,Frost199,14 hours ago,fix: Mobile view for login
d4026ea,Eleam Emmanuel,14 hours ago,Merge pull request #72 from Olanetsoft/develop
4f8225e,Frost199,15 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into readme
9230e87,Eleam Emmanuel,15 hours ago,Merge pull request #71 from Xemicolon/develop
637cc98,olanetsoft,15 hours ago,FIXED MARGIN ISSUES IN LOGIN PAGE
0815406,Xemicolon,15 hours ago,Fixed input width on 767 screen
b7e1aae,Frost199,15 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into readme
53efcce,Timothy Mayor,15 hours ago,Merge pull request #70 from Xemicolon/develop
c1339f2,Xemicolon,15 hours ago,Minor fix for spacing
192f6cc,Xemicolon,15 hours ago,Minor fix
ce6c9a7,Frost199,15 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into readme
e5cf4fb,Timothy Mayor,15 hours ago,Merge pull request #69 from Olanetsoft/develop
8924ce0,olanetsoft,15 hours ago,FIXED TYPO
d4757ca,olanetsoft,15 hours ago,IMPLEMENTED THE LOGIN PAGE RESPONSIVENESS AND LAYOUTS ALSO INCLUDED
d9b1fff,dreysongz,15 hours ago,fixed mobile overflow
02b771d,Frost199,15 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into readme
1c7ddb3,olanetsoft,15 hours ago,Merge remote-tracking branch 'upstream/develop' into develop
67920e1,Timothy Mayor,16 hours ago,Merge pull request #67 from Xemicolon/develop
41e79a9,Timothy Mayor,16 hours ago,Merge pull request #68 from Dami-js/signup-page-optimization
99319dc,Okekunle Oluwatobiloba,16 hours ago,Optimzed Register Page
691ba3e,Ibrahim Adekunle,16 hours ago,Merge pull request #3 from hngi/develop
91c2055,Xemicolon,16 hours ago,Minor fix on sign up page
fb0d543,Frost199,16 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into readme
5bd40fd,Timothy Mayor,16 hours ago,Merge pull request #66 from Dami-js/about-page-optimization
526918b,Timothy Mayor,16 hours ago,Merge pull request #65 from Xemicolon/develop
8763b91,Xemicolon,16 hours ago,Sign Up page completed
8f6e660,Okekunle Oluwatobiloba,16 hours ago,Optimized The About page
af60525,Aduramimo Oludare,16 hours ago,Merge branch 'feat/about-page-view' into feat/about-page-view
7c8606b,dreysongz,16 hours ago,fixed img responsiveness for 3rd microservice
